X,Y,Head 1
699953.2143,7535655.828,584.1934204
700053.0714,7535655.828,583.6912231
700152.9286,7535655.828,583.1088867
700252.7857,7535655.828,582.3110352
700352.6429,7535655.828,581.9147949
700452.5,7535655.828,581.6809082
700552.3571,7535655.828,581.5300903
700652.2143,7535655.828,581.1549683
700752.0714,7535655.828,580.68396
700851.9286,7535655.828,580.1973267
700951.7857,7535655.828,579.1018066
701051.6429,7535655.828,574.4503784
701151.5,7535655.828,567.7907715
701251.3571,7535655.828,558.1912231
701351.2143,7535655.828,552.9638062
701451.0714,7535655.828,551.3325806
701550.9286,7535655.828,543.5510254
701650.7857,7535655.828,553.8225708
701750.6429,7535655.828,556.6033325
701850.5,7535655.828,558.0073242
701950.3571,7535655.828,559.1553955
702050.2143,7535655.828,564.0879517
702150.0714,7535655.828,563.9968262
699354.0714,7535556.23,588.02771
699453.9286,7535556.23,587.6883545
699553.7857,7535556.23,587.1608887
699653.6429,7535556.23,586.4099731
699753.5,7535556.23,585.6798096
699853.3571,7535556.23,585.1350098
699953.2143,7535556.23,584.5842896
700053.0714,7535556.23,584.0200806
700152.9286,7535556.23,583.2232666
700252.7857,7535556.23,582.2115479
700352.6429,7535556.23,581.1018066
700452.5,7535556.23,580.3920898
700552.3571,7535556.23,579.9876099
700652.2143,7535556.23,579.8932495
700752.0714,7535556.23,579.7979126
700851.9286,7535556.23,579.0629272
700951.7857,7535556.23,576.0817261
701051.6429,7535556.23,571.6206055
701151.5,7535556.23,566.5261841
701251.3571,7535556.23,561.4700928
701351.2143,7535556.23,553.4709473
701451.0714,7535556.23,550.1099243
701550.9286,7535556.23,540.5696411
701650.7857,7535556.23,549.184021
701750.6429,7535556.23,553.7572021
701850.5,7535556.23,555.3271484
701950.3571,7535556.23,556.02771
702050.2143,7535556.23,560.8964844
702150.0714,7535556.23,561.3413086
702249.9286,7535556.23,560.5063477
699354.0714,7535456.631,588.4946289
699453.9286,7535456.631,588.3743896
699553.7857,7535456.631,587.9401855
699653.6429,7535456.631,587.1906738
699753.5,7535456.631,586.3344727
699853.3571,7535456.631,585.6097412
699953.2143,7535456.631,584.9856567
700053.0714,7535456.631,584.5219116
700152.9286,7535456.631,584.0526123
700252.7857,7535456.631,580.8817139
700352.6429,7535456.631,577.355896
700452.5,7535456.631,572.694397
700552.3571,7535456.631,574.6688843
700652.2143,7535456.631,572.5293579
700752.0714,7535456.631,572.1904297
700851.9286,7535456.631,569.3165894
700951.7857,7535456.631,564.1257324
701051.6429,7535456.631,560.3052979
701151.5,7535456.631,557.1547241
701251.3571,7535456.631,554.1199341
701351.2143,7535456.631,551.0786133
701451.0714,7535456.631,548.241394
701550.9286,7535456.631,546.9671021
701650.7857,7535456.631,544.913269
701750.6429,7535456.631,550.1480713
701850.5,7535456.631,551.7907715
701950.3571,7535456.631,552.8738403
702050.2143,7535456.631,557.2657471
702150.0714,7535456.631,558.4417114
702249.9286,7535456.631,558.675415
702349.7857,7535456.631,558.2805786
699054.5,7535357.032,588.5131836
699154.3571,7535357.032,588.7600098
699254.2143,7535357.032,589.0618896
699354.0714,7535357.032,589.234314
699453.9286,7535357.032,589.1680298
699553.7857,7535357.032,588.711731
699653.6429,7535357.032,587.8002319
699753.5,7535357.032,587.0684204
699853.3571,7535357.032,586.3099365
699953.2143,7535357.032,585.6072388
700053.0714,7535357.032,585.0153198
700152.9286,7535357.032,584.6309204
700252.7857,7535357.032,584.4007568
700352.6429,7535357.032,578.7286987
700452.5,7535357.032,573.1271973
700552.3571,7535357.032,558.1140747
700652.2143,7535357.032,561.4672241
700752.0714,7535357.032,562.331665
700851.9286,7535357.032,559.8376465
700951.7857,7535357.032,550.1399536
701051.6429,7535357.032,543.6255493
701151.5,7535357.032,542.2359619
701251.3571,7535357.032,538.4096069
701351.2143,7535357.032,532.0409546
701451.0714,7535357.032,530.755249
701550.9286,7535357.032,527.508667
701650.7857,7535357.032,537.1885376
701750.6429,7535357.032,545.6727295
701850.5,7535357.032,547.9849854
701950.3571,7535357.032,549.3425293
702050.2143,7535357.032,553.8770142
702150.0714,7535357.032,554.9179688
702249.9286,7535357.032,546.8005981
702349.7857,7535357.032,556.5427246
702449.6429,7535357.032,556.3272705
702549.5,7535357.032,556.2167358
698954.6429,7535257.433,588.298645
699054.5,7535257.433,588.4506226
699154.3571,7535257.433,588.8221436
699254.2143,7535257.433,589.401062
699354.0714,7535257.433,590.0119019
699453.9286,7535257.433,590.255249
699553.7857,7535257.433,589.600769
699653.6429,7535257.433,588.6296997
699753.5,7535257.433,587.5908813
699853.3571,7535257.433,586.7456055
699953.2143,7535257.433,585.989502
700053.0714,7535257.433,585.2756958
700152.9286,7535257.433,584.7596436
700252.7857,7535257.433,584.2277222
700352.6429,7535257.433,583.624939
700452.5,7535257.433,583.0864258
700552.3571,7535257.433,577.6178589
700652.2143,7535257.433,569.315918
700752.0714,7535257.433,565.5350342
700851.9286,7535257.433,561.9736328
700951.7857,7535257.433,558.0001221
701051.6429,7535257.433,554.8024902
701151.5,7535257.433,553.0980225
701251.3571,7535257.433,551.6077881
701351.2143,7535257.433,549.4213867
701451.0714,7535257.433,546.5716553
701550.9286,7535257.433,542.6937866
701650.7857,7535257.433,542.036499
701750.6429,7535257.433,539.3423462
701850.5,7535257.433,544.1799316
