id_sacre,lon,lat
P667,-49.07513036,-22.30701133
P668,-49.07783433,-22.31883734
P669,-49.03339121,-22.36948841
P670,-49.0977751,-22.31555063
P671,inf,inf
P672,-49.10235518,-22.33736819
P673,-49.09073543,-22.32540155
P674,-49.10033161,-22.33877131
P675,-49.11865943,-22.3292772
P676,-49.08619522,-22.34599192
P677,-49.08768854,-22.349387
P678,-49.09401045,-22.35923265
P679,-49.07911699,-22.34572751
P680,-36.34336773,-83.05103208
P681,-49.09501661,-22.32714066
P682,-49.08379233,-22.33812497
P684,-49.09400335,-22.3509786
P685,-49.09138185,-22.36681446
P687,-49.10054036,-22.3292374
P688,-49.06936504,-22.31982036
P689,-49.00495467,-22.31611455
P690,-49.06969602,-22.32525165
P691,-49.05627219,-22.3504578
P692,-49.10570003,-22.29266031
